location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,700,6500000,9285.71,2,2026,High End,2,1.0
Kilimani,Apartment,2,3,1,1076,10800000,10037.17,2,2026,Mid Range,5,0.67
Kilimani,Apartment,1,1,1,807,8200000,10161.09,2,2026,Mid Range,2,1.0
Kilimani,Apartment,1,1,1,807,8200000,10161.09,2,2026,Mid Range,2,1.0
Kilimani,Apartment,2,3,1,1076,10800000,10037.17,2,2026,Mid Range,5,0.67
Kilimani,Apartment,1,1,1,807,8200000,10161.09,2,2026,Mid Range,2,1.0
Westlands,Apartment,1,1,1,721,8200000,11373.09,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,592,7800000,13175.68,2,2026,High End,2,1.0
Westlands,Apartment,2,2,1,1184,10700000,9037.16,2,2026,High End,4,1.0
Westlands,Apartment,2,2,1,1184,10700000,9037.16,2,2026,High End,4,1.0
Kilimani,Apartment,1,1,1,840,8550000,10178.57,2,2026,Mid Range,2,1.0
Kilimani,Apartment,3,4,2,1959,24000000,12251.15,2,2026,Mid Range,7,0.75
Kilimani,Apartment,3,4,2,1862,22000000,11815.25,2,2026,Mid Range,7,0.75
Westlands,Apartment,1,1,1,517,6200000,11992.26,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,721,8100000,11234.4,2,2026,High End,2,1.0
Westlands,Apartment,2,2,1,1109,11500000,10369.7,2,2026,High End,4,1.0
Kilimani,Apartment,3,4,2,1959,24000000,12251.15,2,2026,Mid Range,7,0.75
Kilimani,Apartment,3,4,2,1862,22000000,11815.25,2,2026,Mid Range,7,0.75
Westlands,Apartment,1,1,1,818,9000000,11002.44,2,2026,High End,2,1.0
Westlands,Apartment,3,2,2,1292,15200000,11764.71,2,2026,High End,5,1.5
Kileleshwa,Apartment,2,2,1,1281,12000000,9367.68,2,2026,Mid Range,4,1.0
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,732,7000000,9562.84,2,2026,High End,2,1.0
Kabete,Apartment,1,1,1,366,4720000,12896.17,2,2026,Affordable,2,1.0
Westlands,Apartment,1,1,1,689,8800000,12772.13,2,2026,High End,2,1.0
Kileleshwa,Apartment,2,2,2,915,7150000,7814.21,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,2,2,2,915,7150000,7814.21,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,2,2,2,915,7150000,7814.21,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,1,1,1,700,5110000,7300.0,2,2026,Mid Range,2,1.0
Kileleshwa,Apartment,1,1,1,700,5110000,7300.0,2,2026,Mid Range,2,1.0
Westlands,Apartment,2,2,1,1001,11800000,11788.21,2,2026,High End,4,1.0
Westlands,Apartment,3,2,1,1464,14800000,10109.29,2,2026,High End,5,1.5
Lavington,Apartment,3,4,2,8407,30000000,3568.45,2,2026,High End,7,0.75
Westlands,Apartment,1,1,1,624,9000000,14423.08,2,2026,High End,2,1.0
Kilimani,Apartment,4,5,2,2971,44000000,14809.83,2,2026,Mid Range,9,0.8
Kilimani,Apartment,4,5,2,129,25000000,193798.45,2,2026,Mid Range,9,0.8
Kilimani,Apartment,1,1,1,646,6500000,10061.92,2,2026,Mid Range,2,1.0
Kilimani,Apartment,1,1,1,646,6000000,9287.93,2,2026,Mid Range,2,1.0
Kilimani,Apartment,1,1,1,592,6000000,10135.14,2,2026,Mid Range,2,1.0
Kilimani,Apartment,1,1,1,592,5500000,9290.54,2,2026,Mid Range,2,1.0
Kilimani,Apartment,3,4,2,2207,32000000,14499.32,2,2026,Mid Range,7,0.75
Westlands,Apartment,3,4,2,1711,22680000,13255.41,2,2026,High End,7,0.75
Westlands,Apartment,2,3,1,1410,15500000,10992.91,2,2026,High End,5,0.67
Westlands,Apartment,5,6,4,2852,35000000,12272.09,2,2026,High End,11,0.83
Westlands,Apartment,1,1,1,624,9000000,14423.08,2,2026,High End,2,1.0
Westlands,Apartment,4,5,3,2271,27500000,12109.2,2,2026,High End,9,0.8
Syokimau,Apartment,2,2,1,1163,8000000,6878.76,2,2026,Mid Range,4,1.0
Westlands,Apartment,4,5,7,2293,37200000,16223.29,2,2026,High End,9,0.8
