source,location,address,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,listing_url,listing_date
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,4.0,,2.0,2476,26500000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-101747586,2026-02-23
property24,Westlands,"Westlands, Westlands, Nairobi",Apartment,4.0,5.0,3.0,2271,27500000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116926603,2026-02-23
property24,Westlands,"PQQJ+M66 Muthangari Dr, Westlands, Nairobi",Apartment,4.0,,2.0,2293,31000000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116949904,2026-02-23
property24,Westlands,"Westlands, Westlands, Nairobi",Apartment,5.0,6.0,4.0,2863,35000000,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-westlands-116926565,2026-02-23
property24,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Apartment,2.0,2.0,1.0,1227,13600000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930230,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1410,15500000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116952618,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1410,15500000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116952612,2026-02-23
property24,Westlands,"School Ln Spring Valley, Westlands, Nairobi",Apartment,1.0,1.0,1.0,409,7749000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116926518,2026-02-23
property24,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Apartment,2.0,,1.0,1389,15600000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930220,2026-02-23
property24,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Apartment,3.0,,2.0,1873,21000000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-116930216,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1184,13000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116945316,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,1.0,883,12000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926390,2026-02-23
property24,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi",Apartment,1.0,1.0,1.0,710,7000000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116940494,2026-02-23
property24,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi",Apartment,1.0,1.0,1.0,700,6900000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116940480,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,3.0,,2.0,1528,17500000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926373,2026-02-23
